PA_CIDPRI,Goiás,Mato Grosso do Sul,Mato Grosso,Distrito Federal,Total Frequency
Z35,1.0,19.0,248.0,0.0,268.0
M790,231.0,15.0,8.0,13.0,267.0
G439,69.0,40.0,26.0,132.0,267.0
G969,90.0,4.0,26.0,147.0,267.0
K515,136.0,29.0,2.0,98.0,265.0
H259,39.0,190.0,0.0,35.0,264.0
N20,91.0,4.0,156.0,10.0,261.0
M531,81.0,28.0,101.0,51.0,261.0
Z108,232.0,15.0,13.0,0.0,260.0
N879,40.0,44.0,38.0,138.0,260.0
S831,106.0,24.0,124.0,4.0,258.0
D25,3.0,0.0,24.0,230.0,257.0
H330,8.0,6.0,0.0,243.0,257.0
E700,91.0,82.0,10.0,73.0,256.0
N202,102.0,27.0,55.0,72.0,256.0
T201,256.0,0.0,0.0,0.0,256.0
K02,1.0,13.0,237.0,4.0,255.0
S602,174.0,24.0,30.0,25.0,253.0
I981,0.0,0.0,0.0,252.0,252.0
S724,121.0,24.0,88.0,18.0,251.0
H520,179.0,38.0,7.0,25.0,249.0
O021,221.0,4.0,15.0,8.0,248.0
I20,233.0,4.0,10.0,0.0,247.0
N319,4.0,2.0,3.0,237.0,246.0
I25,243.0,0.0,3.0,0.0,246.0
R071,122.0,6.0,51.0,67.0,246.0
M171,113.0,28.0,82.0,22.0,245.0
K210,173.0,10.0,0.0,61.0,244.0
O48,223.0,1.0,1.0,18.0,243.0
B86,84.0,85.0,40.0,34.0,243.0
E117,189.0,8.0,23.0,23.0,243.0
S936,71.0,83.0,80.0,8.0,242.0
E078,228.0,2.0,4.0,8.0,242.0
J449,158.0,6.0,47.0,30.0,241.0
H669,43.0,95.0,65.0,38.0,241.0
T293,232.0,7.0,0.0,2.0,241.0
H609,76.0,111.0,18.0,35.0,240.0
E149,152.0,12.0,1.0,75.0,240.0
S920,153.0,61.0,16.0,9.0,239.0
M519,77.0,15.0,143.0,4.0,239.0
L80,114.0,1.0,0.0,123.0,238.0
M158,216.0,5.0,13.0,3.0,237.0
N649,133.0,7.0,29.0,66.0,235.0
Q050,230.0,4.0,0.0,1.0,235.0
W549,23.0,173.0,21.0,17.0,234.0
M819,102.0,0.0,119.0,12.0,233.0
K046,34.0,24.0,135.0,39.0,232.0
L930,135.0,21.0,19.0,57.0,232.0
E031,43.0,188.0,1.0,0.0,232.0
